,accum,min,max,closed
656,0.0,70.94,82.53,0
657,0.0,62.37,72.92,0
659,0.0,73.13,90.44,0
660,0.0,65.27,77.18,0
661,0.0,62.69,71.0,0
663,0.0,61.1,81.51,0
664,0.0,65.32,78.39,0
665,0.0,64.37,87.2,0
666,0.0,65.7,84.47,0
668,0.0,57.21,66.08,0
669,0.0,53.5,66.94,0
670,0.0,58.56,70.85,0
671,0.0,55.6,63.91,0
673,0.0,64.35,80.32,0
674,0.0,62.71,76.17,0
675,0.0,54.29,59.07,0
676,0.0,50.47,54.15,0
678,0.0,47.54,63.18,0
679,0.0,50.76,69.71,0
680,0.0,52.18,60.48,0
681,0.0,52.27,69.39,0
683,0.0,54.16,66.11,0
684,0.0,46.19,60.52,0
685,0.0,49.68,60.24,0
687,0.0,45.71,64.58,0
688,0.0,54.25,58.81,0
689,0.0,53.72,72.04,0
690,0.0,41.39,61.12,0
692,0.0,37.36,54.24,0
693,0.0,44.26,62.93,0
694,0.0,56.82,73.99,0
695,0.0,44.47,59.97,0
697,0.0,46.18,70.95,0
698,0.0,49.89,58.62,0
699,0.0,52.15,73.47,0
700,0.0,60.94,71.23,0
702,0.0,46.22,52.08,0
704,0.0,47.57,58.85,0
706,0.0,33.96,43.78,0
707,0.0,33.92,47.08,0
708,0.0,42.18,55.13,0
709,0.0,45.12,59.54,0
711,0.0,28.58,43.31,0
712,0.0,32.04,43.81,0
715,0.0,32.82,43.57,0
716,0.0,39.89,50.59,0
717,0.0,41.8,51.05,0
718,0.0,37.25,47.61,0
720,0.0,37.83,43.73,0
721,0.0,37.35,45.36,0
722,0.0,44.58,56.84,0
723,0.0,45.3,57.43,0
725,0.0,48.95,59.59,0
726,0.0,38.31,47.76,0
727,0.0,39.51,51.47,0
728,0.0,39.12,51.2,0
731,0.0,19.41,32.0,0
732,0.0,21.42,31.68,0
733,0.0,19.08,29.94,0
735,0.0,29.8,50.68,0
736,0.0,32.08,44.92,0
737,0.0,26.32,41.77,0
738,0.0,34.17,39.68,0
740,0.0,35.13,49.03,0
741,0.0,36.61,56.85,0
742,0.0,45.22,56.31,0
743,10.074,25.33,43.33,0
745,8.552999999999999,20.7,28.88,0
746,0.027999999999999997,23.29,35.28,0
747,0.047,13.56,31.38,0
748,0.0,7.98,23.24,0
750,0.0,35.18,45.57,0
751,0.0,25.18,34.48,0
752,0.0,20.63,36.71,0
754,0.0,27.51,37.27,0
755,0.0,37.13,58.25,0
756,0.0,41.94,63.4,0
757,0.0,26.95,41.04,0
759,0.0,34.99,46.62,0
760,0.0,26.19,52.87,0
761,0.0,20.64,34.03,0
762,0.134,26.69,30.43,0
764,0.0,37.27,46.15,0
765,0.0,41.83,74.75,0
766,0.0,54.63,64.88,0
767,0.0,42.82,48.77,0
769,0.0,40.63,45.44,0
770,0.0,41.37,48.49,0
771,0.0,43.21,61.75,0
772,0.0,39.25,51.68,0
774,0.0,33.44,49.05,0
775,0.0,41.81,60.18,0
776,0.0,36.67,42.42,0
777,0.0,37.85,46.02,0
779,0.0,39.45,49.63,0
780,0.0,34.34,56.94,0
781,0.0,42.01,69.21,0
782,0.0,60.98,67.87,0
784,0.0,23.46,36.23,0
785,0.0,26.51,41.31,0
786,0.0,42.54,55.25,0
787,0.0,38.2,50.5,0
789,0.0,43.95,59.31,0
790,0.0,38.28,47.85,0
791,0.0,38.49,47.09,0
792,0.0,38.1,52.2,0
794,0.0,44.58,51.88,0
795,0.0,44.86,50.84,0
796,0.0,42.79,74.44,0
797,0.0,59.08,75.95,0
799,0.0,37.37,53.49,0
800,0.0,37.04,58.87,0
801,0.0,40.76,51.83,0
802,0.0,43.91,48.32,0
804,0.0,45.91,48.97,0
805,0.0,43.68,48.23,0
806,0.0,43.77,46.01,0
807,0.0,45.66,51.39,0
809,0.0,45.27,69.37,0
810,0.0,52.92,65.73,0
811,0.0,54.97,68.3,0
812,0.0,53.92,72.2,0
814,0.0,50.96,68.72,0
815,0.0,51.14,59.36,0
816,0.0,50.53,58.29,0
